"English","简体中文@smalbox"
"label:""&File""","label:""&文件"""
"label:""New &repository…""","label:""新建 &仓库…"""
"label:""Add &local repository…""","label:""导入 &本地仓库…"""
"label:""Clo&ne repository…""","label:""&克隆仓库…"""
"label:""&Options…""","label:""&选项…"""
"label:""E&xit""","label:""&退出"""
"label:""&Edit""","label:""&编辑"""
"label:""&Undo""","label:""&撤销"""
"label:""&Redo""","label:""&恢复"""
"label:""Cu&t""","label:""&剪切"""
"label:""&Copy""","label:""&复制"""
"label:""&Paste""","label:""&粘贴"""
"label:""Select &all""","label:""&全选"""
"label:""&Find""","label:""&查找"""
"label:""&View""","label:""&查看"""
"label:""&Changes""","label:""&查看更改"""
"label:""&History""","label:""&查看历史更改"""
"label:""Repository &list""","label:""仓库&列表"""
"label:""&Branches list""","label:""&分支列表"""
"label:""Go to &Summary""","label:""填写提交&备注"""
"label:""Toggle &full screen""","label:""切换为&全屏"""
"label:""Reset zoom""","label:""重置缩放"""
"label:""Zoom in""","label:""放大"""
"label:""Zoom out""","label:""缩小"""
"label:""&Reload""","label:""&重新载入"""
"label:""&Toggle developer tools""","label:""&打开开发者工具"""
"label:""&Repository""","label:""&仓库"""
"label:""Pu&ll""","label:""Pu&ll(拉取)"""
"label:""&View on GitHub""","label:""&在 github 上查看"""
"label:`O&pen in ${t??""Command Prompt""",
"label:""Show in E&xplorer""","label:""&在文件资源管理器中显示"""
"label:`&Open in ${e??""external editor""",
"label:""Create &issue on GitHub""","label:""在GitHub上创建 &issue"""
"label:""Repository &settings…""","label:""仓库&设置…"""
"label:""New &branch…""","label:""&分支"""
"label:""&Rename…""","label:""&重命名当前分支…"""
"label:""&Delete…""","label:""&删除当前分支…"""
"label:""Discard all changes…""","label:""放弃所有更改…"""
"label:c?""&Stash all changes…"":""&Stash all changes""","label:c?""&暂存所有更改(stash)…"":""&暂存所有更改(stash)"""
"label:`&Update from ${a}`","label:`从${a}&更新`"
"label:""&Compare to branch""","label:""&比较分支"""
"label:""&Merge into current branch…""","label:""&选择分支合并到当前分支…"""
"label:""Squas&h and merge into current branch…""","label:""压缩和合并分支…"""
"label:""R&ebase current branch…""","label:""&将当前分支变基(rebase)…"""
"label:""Compare on &GitHub""","label:""在&GitHub上进行比较"""
"label:""View branch on GitHub""","label:""查看 GitHub 上的分支"""
"label:""Report issue…""","label:""报告问题…"""
"label:""&Contact GitHub support…""","label:""&在GitHub上寻找帮助…"""
"label:""Show User Guides""","label:""查看用户指引"""
"label:""Show keyboard shortcuts""","label:""查看键盘快捷键"""
"label:""S&how logs in Explorer""","label:""&查看程序日志"""
"label:""&Help""","label:""&帮助"""
"label:""&About GitHub Desktop""","label:""&关于 GitHub 桌面版"""
"return e?""H&ide stashed changes"":""Sho&w stashed changes""","return e?""隐藏暂存的更改"":""&显示暂存的更改"""
"label:""Removing repositories""","label:""删除存储库"""
"label:""Discarding changes""","label:""放弃更改"""
"label:""Discarding changes permanently""","label:""永久放弃更改"""
"label:""Force pushing""","label:""强制推送"""
"title:""Options""","title: ""选项"""
",""Integrations""",",""开发集成"""
",""Accounts""",",""账户"""
",""Appearance""",",""外观"""
",""Prompts""",",""提示"""
",""Advanced""",",""高级"""
"""Checking for ability to merge automatically...""","""检查是否能够进行合并..."""
"""This branch is up to date with ""","""当前分支是最新的"""
"const r=1===n?""commit"":""commits""","const r=1===n?""项提交"":""项提交"""
"""This will merge""","""这将会合并"""
""". This file specifies intentionally untracked files that Git should ignore. Files already tracked by Git are not affected.""",""". 该文件指定Git应该忽略的未跟踪的文件。 Git已经跟踪的文件不受影响。"""
"""Learn more""","""了解更多"""
"placeholder:""Ignored files""","placeholder:""忽略的文件"""
"title:""Repository settings""","title:""存储库设置"""
"null,""Remote""","null,""远程"""
"null,""Ignored files""","null,""忽略文件"""
"null,""Git config""","null,""Git 配置"""
"null,""Fork behavior""","null,""分叉行为"""
"return ZI(e)?""Clone failed"":""Error""","return ZI(e)?""克隆失败"":""错误"""
"""Would you like to retry cloning ""","""是否再次尝试克隆 """
"okButtonText:""Retry clone""","okButtonText:""重试克隆"""
"label:""Local path""","label:""本地路径"""
"placeholder:""repository path""","placeholder:""选择仓库所在路径"""
"okButtonText:""Add repository""","okButtonText:""添加仓库"""
"label:""License""","label:""许可证"""
"title:""Create a new repository""","title:""创建一个新的存储库"""
"label:""Name""","label:""名称"""
"placeholder:""repository name""","placeholder:""存储库的名称"""
"label:""Description""","label:""描述"""
"label:""Initialize this repository with a README""","label:""添加自述文件(README.md)来初始化此存储库"""
"okButtonText:""Create repository""","okButtonText:""创建仓库"""
"placeholder:""URL or username/repository""","placeholder:""URL 或者 用户名/存储库名"""
"""Repository URL or GitHub username and repository""","""存储库URL或GitHub用户名和存储库"""
"""if you've created a repository recently.""","""如果您最近创建了一个存储库"""
"""Refresh this list""","""刷新此列表"""
"""Looks like there are no repositories for""","""没有存储库"""
"placeholderText:""Filter your repositories""","placeholderText:""过滤您的存储库"""
"""Sign in to your GitHub.com account to access your repositories.""","""登录到GitHub.com帐户以访问您的存储库。"""
"""If you have a GitHub Enterprise or AE account at work, sign in to it to get access to your repositories.""","""如果您正在使用GitHub企业服务帐户，请登录该帐户以访问您的存储库。"""
"""Unable to read path on disk. Please check the path and try again.""","""无法读取磁盘上的路径。请检查路径并重试。"""
"label:""Create branch based on…""","label:""创建分支基于"""
"""Your new branch will be based on your currently checked out branch (""","""您的新分支将基于您当前签出的分支 ("""
"""The default branch in your repository. Pick this to start on something new that's not dependent on your current branch.""","""您存储库中的默认分支。选择此分支以开启一个不依赖于当前分支的新项目。"""
"""The currently checked out branch. Pick this if you need to build on work done on this branch.""","""当前签出的分支。如果您需要在此分支基础上完成工作，请选择此选项。"""
"""To improve the security of your account, GitHub now requires you to sign in through your browser.""","""为了提高您帐户的安全性，GitHub现在要求您通过浏览器登录。"""
"""Your browser will redirect you back to GitHub Desktop once you've signed in. If your browser asks for your permission to launch GitHub Desktop please allow it to.""","""一旦你登录后，你的浏览器会将你重定向回 GitHub 桌面。如果你的浏览器需要你的许可才能启动 GitHub 桌面，请允许它。"""
"""Sign in using your browser""","""使用浏览器登录"""
"""Terms and Conditions""","""条款及细则"""
"""License and Open Source Notices""","""许可和开源声明"""
"title:""Publish repository""","title:""发布存储库"""
"""Sign in to your GitHub.com account to access your repositories.""","""登录到GitHub.com帐户以访问您的存储库。"""
"""If you have a GitHub Enterprise or AE account at work, sign in to it to get access to your repositories.""","""如果您正在使用GitHub 企业服务帐户，请登录该帐户以访问您的存储库。"""
"""Add a repository to GitHub Desktop to start collaborating""","""将存储库添加到GitHub桌面版以开始协作"""
"""Return to in progress tutorial""","""返回正在进行的教程"""
"""Clone a repository from the Internet…""","""克隆一个在线存储库…"""
"""Create a New Repository on your hard drive…""","""在硬盘上创建一个新的存储库…"""
"""Add an Existing Repository from your hard drive…""","""从硬盘中导入现有的存储库…"""
""" You can drag & drop an existing repository folder here to add it to Desktop""",""" 您可以在此处拖放现有存储库文件夹以将其添加到桌面"""
"title:""Remove repository""","title:""删除存储库"""
"'Are you sure you want to remove the repository ""'","'你确定要删除存储库 ""'"
"""The repository will be removed from GitHub Desktop:""","""该存储库将从 GitHub 客户端上移除:"""
"label:""Also move this repository to Recycle Bin""","label:""同时将该存储库移动到回收站"""
"title:""Authentication failed""","title:""身份验证失败"""
"""We were unable to authenticate with ""","""无法通过主机地址"""
""". Please enter your username and password to try again.""","""的身份验证。请输入您的用户名和密码，然后重试。"""
"okButtonText:""Save and retry""","okButtonText:""保存并重试"""
"title:""Start tutorial""","title:""开始教程"""
"""This will create a repository on your local machine, and push it to your account ""","""这将在本地计算机上创建一个存储库，并将其推送到您的帐户 """
""". This repository will only be visible to you, and not visible publicly.""",""". 此存储库将仅对您可见，而不是公开可见。"""
"title:""Refreshing repository""","title:""刷新存储库"""
"a=`Pushing to ${s}`","a=`正在推送到 ${s}`"